Author,Title,Year,YoutubeId,Region
Andrzej Dąbrowski,Zielono mi,1971,A3Erhhwt9kg,PL
Anna German,Kupiłabym ci me kochanie,1971,Ve7h1W2fbHM,PL
Tadeusz Woźniak,Zegarmistrz światła,1972,n7BkXebANI0,PL
2 plus 1,"Chodź, pomaluj mój świat",1972,3hYjSsmmzJs,PL
Irena Jarocka,Odpływają kawiarenki,1972,XHHDGqh-dLI,PL
Bogusław Mec,Jej portret,1972,8sI4m8t7YmA,PL
Maryla Rodowicz,Małgośka,1973,26MdTMNpsFM,PL
Stan Borys,Jaskółka uwięziona,1973,y4i4_e7T7Ig,PL
Maryla Rodowicz,Diabeł i raj,1973,pHTxc9Rfor4,PL
Dżamble,Wymyśliłem ciebie,1973,_8kyIah0XGo,PL
Anna Jantar,Tyle słońca w całym mieście,1974,wChFEkCqt5s,PL
Budka Suflera,Sen o dolinie,1974,SxHd7ELwBCw,PL
Andrzej Rosiewicz,40 lat minęło,1974,TSgohNm-1cg,PL
Maryla Rodowicz,Urodzajny rok,1974,_yronE5zJ_8,PL
Krzysztof Krawczyk,Parostatek,1975,S7KAGds0i7U,PL
Anna Jantar,Moje jedyne marzenie,1975,IsaSossqRC0,PL
Budka Suflera,Cień wielkiej góry,1975,-Yryq4DytYY,PL
Maryla Rodowicz,Damą być,1975,pLo5ZyGn_qg,PL
Maryla Rodowicz,Sing-Sing,1976,QgHhOXjHv_w,PL
Krzysztof Krawczyk,Byle było tak,1976,wzvWucG2IAQ,PL
Maryla Rodowicz,Nie ma jak pompa,1976,sgLHGk3HA6c,PL
Maryla Rodowicz,Kolorowe jarmarki,1977,5Fs2PewmpmU,PL
Halina Frąckowiak,Bądź gotowy do drogi,1977,g6ACuxhFqqI,PL
Maryla Rodowicz,Krąży złoty pieniądz,1977,iIRoR8_ESzw,PL
Maryla Rodowicz,Cokolwiek robię nie żałuję,1977,0whhZuo3CXQ,PL
2 plus 1,Windą do nieba,1978,PWTLbvZRdJw,PL
Zbigniew Wodecki,Zacznij od Bacha,1978,rDQHzGpwQNk,PL
Maryla Rodowicz,Remedium,1978,ucfNtTsyjYA,PL
Maryla Rodowicz,"Futbol, futbol, futbol",1978,oY-N1607m4I,PL
Anna Jantar,Nic nie może wiecznie trwać,1979,LBmUBMnuU2k,PL
Maanam,Hamlet,1979,7DARGu0GGCY,PL
Maryla Rodowicz,Cyrk nocą,1979,K61I4eaXg7A,PL
Maryla Rodowicz,Rajski deser,1979,kKzPVBwtrr4,PL
Maanam,Boskie Buenos,1980,YdE2CRrmXek,PL
